s#,c#,grade
16402002,EE-85,83.0
34059205,MA-23,77.4
28029829,CS-26,70.6
19438880,LW-21,90.4
23696377,MT-17,93.6
38730669,FL-41,75.2
23582541,AS-28,96.8
44631020,MV-61,69.2
10030591,CE-08,90.2
30473523,EM-31,67.2
48079836,ME-26,87.3
28535047,EM-28,81.1
26354813,AT-26,67.1
24816423,FL-43,56.3
31916293,EM-60,75.3
10887008,EE-78,63.7
48912236,CE-42,92.2
23650504,LW-22
43704294,DA-71,82.9
21140828,LF-21,82.7
21934828,FL-94,72.7
48846638,MX-04,93.3
28302912,MV-35,65.7
26625307,AT-10,92.8
26941547,EE-45,78.6
16485902,ME-36,69.5
47026196,ME-16,69.8
28045503,MT-34,93.0
13184798,FL-82,75.7
26453301,AS-39,69.9
16200545,EE-34,87.7
29541663,EE-64,98.4
36812927,MV-15,93.0
48079836,MV-54,61.3
40897307,FL-89,91.5
47795841,MV-62,83.9
46959294,EE-23,77.4
47455725,LF-14,73.2
33229957,EM-62,63.0
28535047,ME-07,71.3
30331064,EE-24,92.4
26345795,FL-01,59.1
15705308,FL-39,73.7
42283900,EE-30,99.5
28279827,CE-03,90.7
40325204,MT-19,77.2
19124770,AS-32,84.8
17292815,LF-16,99.9
18254665,CS-36,87.5
35842953,AT-32,81.1
42489944,EM-43,89.0
40775446,CS-43,86.3
45505792,MT-39,75.4
47539465,MT-03,76.3
49336400,ME-29,75.0
33404535,MV-08,72.3
21973633,EM-38,87.6
41522602,FL-91,87.2
12410014,CE-39,97.3
16157233,DA-70,75.0
45105583,LW-02,74.1
21292419,EE-50,90.0
26292152,EM-33,83.8
12753396,LF-22
35603200,EE-71,89.4
43166877,FL-24,80.6
19365746,EE-33,76.1
11018837,EM-32
30111921,AT-53,90.6
43965760,CS-64,94.5
19923223,FL-54,84.8
33003741,DA-47,88.0
14624100,EE-76,66.1
41705493,ME-43,79.5
23719453,EE-73,90.0
16772605,MV-28,98.6
30111921,AT-38,78.1
12147609,LF-13,85.1
17565403,ME-54,73.7
37626851,PH-04,71.1
16003439,ME-25,77.9
19361400,EE-51,66.9
27971787,OE-26,74.5
46457478,MT-26,88.5
34581992,LF-29,69.3
32579209,CS-57,88.4
26388603,ME-64,98.8
47539465,OE-22,80.4
40301245,EM-66,67.9
27574531,DA-21,53.0
15402522,CE-14,95.5
43400844,MV-48,84.2
13060374,DA-74,98.3
39622397,EM-35,90.4
43395696,EE-64,89.0
23412410,EE-07,67.9
29092887,CS-06,84.0
42373636,AS-08,75.7
39547612,FL-18,86.1
27626018,TL-04,70.2
23265512,EE-85,63.2
13735718,AT-02,78.9
19912927,MV-62,72.6
23052906,OE-15,89.7
10435170,AS-25,81.7
33065940,FL-31,70.7
21243274,DA-47,93.2
40595717,CS-20,90.9
19752186,DA-19,90.5
34675958,CE-12,81.9
49331753,ME-22,97.3
17776305,LW-16,94.9
35859719,LF-21,67.6
38607654,FL-95,63.8
47173126,EE-49,81.9
49541875,AT-34,80.9
29439213,OE-24,79.2
21955519,FL-11,89.0
21327843,OE-28,73.1
43418156,EE-56,84.1
24806050,DA-28,60.3
36843271,ME-17,89.7
48633356,EM-30,83.5
34675958,MV-29,85.9
16624173,MV-67,78.1
26351393,MA-25,84.4
42283900,CS-53,59.5
20172393,ME-08,73.3
38694016,AS-50,60.4
37632603,EE-31,87.9
45544909,DA-70,83.3
29775607,MT-31,69.0
42989030,OE-05,76.8
39723409,HS-23,84.0
11044891,CE-11,89.1
21472921,MT-01,81.1
21560565,EE-12,89.7
44164230,AT-11,63.9
29318767,AS-49,82.2
29237708,LF-03,68.2
11078939,ME-53,69.2
11760698,ME-51,81.9
15453057,EE-23,77.2
49383293,FL-93,83.5
49798199,PH-14,61.7
26697646,CS-18,79.9
22490416,IE-08,68.9
16663273,OE-25,57.6
18919681,LW-17,78.4
47767673,CS-10,76.6
22909345,MX-02,66.0
39879257,DA-07,82.9
49237685,EM-67,94.5
10894492,FL-06,67.8
30694838,AS-29,80.5
22467890,ME-33,74.4
32807246,AS-30,79.4
27612226,AT-33,62.2
44151275,EE-04,88.5
19535800,MT-03,80.7
18385892,FL-69,80.1
31672518,EE-76,61.6
45685774,MA-02,86.9
21563776,DA-71,80.0
37632603,CS-14,83.5
37986003,EM-24,69.2
41225765,LW-16,76.3
33853805,CE-21,66.4
25243403,EM-33,74.1
21469216,DA-06,83.9
16199935,CE-19,80.7
32154454,AT-21,93.0
45694144,EE-06,73.9
33042159,LW-20,90.9
36143733,MV-14,84.5
24300908,ME-22,77.1
30838419,DA-22,81.6
30145499,AS-29,71.0
14465786,CE-27,75.6
38592987,AS-54,59.6
38647097,EE-76,70.6
13174743,MV-61,90.6
32410992,LF-17,94.0
18199464,OE-07,69.9
37752676,CS-28,72.6
19729053,FL-63,58.6
40451504,AS-48,84.2
32474701,FL-58,74.0
46915823,LF-26,94.2
46372831,LF-05,83.0
23827791,FL-25,82.5
49281806,MT-15,72.7
28347185,DA-67,73.6
40032135,FL-92,86.8
28060492,MV-03,78.0
40161674,AS-40,88.7
34389523,MV-45,81.6
29451857,MV-59,76.3
36372769,LF-35
47065462,EE-27,77.7
25477235,LW-16,83.5
25969461,EE-55,87.3
36189155,MT-22,69.9
15153912,OE-31,93.8
44522588,OE-04,65.6
44915365,CS-52,70.6
40453542,DA-73,87.7
37831403,EE-76,86.3
37626851,CE-29,82.1
26183921,OE-07,87.5
29805805,CS-40,95.7
38189663,ME-59,89.8
45927797,LF-20,77.1
27913973,EE-36,83.9
16618338,EE-24,89.4
24970257,MT-24,58.2
35920237,DA-27,63.5
17405083,DA-37,90.8
48633356,AT-28,73.0
17814467,CS-10,81.9
44917428,DA-31,68.9
37352104,LF-44,83.4
47278449,MV-19,71.8
21140828,FL-20,75.7
49949045,LW-23,60.7
23714209,OE-02,77.9
23052906,FL-43,84.3
43883310,LF-32,89.2
25864870,MV-05,88.6
48331457,MA-02,82.0
34906325,AS-06,79.9
42234206,ME-31,83.3
35940810,FL-66,74.6
15174834,CE-07,93.5
47660272,AT-48,75.7
47754920,EM-43,70.7
16134837,MT-01,85.8
40301245,EE-20,77.3
20746342,PH-12,90.8
10123252,HS-23,86.3
20434085,CE-29,69.4
40101132,EM-33,92.3
30805769,CS-24,71.7
32294420,DA-24,65.5
26031142,OE-20,77.8
10965928,LF-16,60.5
31629020,AT-19,90.7
11916327,LF-08,66.9
46393485,MT-07,75.6
39721405,EE-50,67.2
34189348,MV-68,65.0
45267736,DA-64,76.2
43822529,AT-12,83.0
45229782,EE-11,89.9
15272720,AT-41,76.3
11491408,EE-12,73.5
28075530,MV-80,63.5
40800210,EE-72,68.6
15431353,LF-10,70.9
30439305,ME-29,78.8
42269858,AT-41,81.0
49102297,OE-10,82.6
26489365,EM-64
10192832,EM-36,77.5
36646914,EM-67,95.4
48333809,EE-66,82.7
25220810,FL-05,88.3
40745384,TL-01,80.3
34139832,EE-62,66.8
14939829,DA-01,76.8
10434569,IE-08,81.7
36123971,EE-85,74.7
21432011,MV-10,88.3
29237708,EM-01,70.3
16176552,MV-74,76.3
39721405,FL-44,77.8
41987217,MV-43,76.7
17809158,FL-66,78.3
36609550,FL-58,56.0
41674482,DA-69,84.4
13849789,EE-39,63.7
33658078,MT-19,67.9
42815651,MT-10,90.2
23027539,MV-36,63.5
21955519,EE-31,80.0
11094770,CE-10,69.7
11176525,MV-06,76.6
46435475,CS-57,66.4
13701037,EE-69,86.5
37932836,MT-32,69.8
48655882,CE-47,93.1
32177669,AS-55,87.1
43851394,AS-36,81.6
15748672,EM-53,70.6
27370407,LF-06,93.3
44919742,FL-54,79.9
26955681,FL-37,90.8
14203958,AS-28,85.9
26741796,ME-46,74.6
25234847,LW-18,72.9
22697384,MT-50,78.5
41882671,CS-40,77.3
43386143,MV-08,76.0
24204319,CS-18,68.3
15833517,OE-27,83.5
38694016,MV-53,85.6
37710092,EE-20,69.5
42163718,EE-71,65.0
26735436,PH-12,77.3
29135387,AT-13,90.3
46279606,EE-57,75.1
39540110,EE-26,68.8
46154207,LF-44,74.0
43973289,MT-47,94.3
42450272,ME-48,77.6
49287300,CE-25,68.1
36439650,EE-43,72.0
42251522,CE-44,70.3
12859950,EM-66,74.8
47767673,MV-78,88.0
32452764,FL-57,84.8
35643363,ME-51,81.4
40595717,CS-56,68.2
48727591,EM-32,76.7
34581923,CS-49,88.2
32260108,CE-15,87.2
16576886,MT-23,80.5
29811403,FL-60,80.6
10502221,MV-33,65.9
32897005,FL-59,73.7
16806501,ME-26,59.9
38502971,CS-27,99.9
11752720,EM-61,90.6
21407178,EM-19,82.5
45912234,AS-04,52.1
44366508,AS-11,51.9
49204003,HS-01,94.2
22619884,HS-16,69.3
30357690,EE-16,76.4
38043350,DA-08,80.5
44850747,LF-08,91.8
23164010,OE-22,94.9
33641621,EE-57,68.7
47784804,FL-24,84.0
35920237,ME-55,70.8
24743934,AS-43,74.8
41646178,FL-57,70.9
44468708,CE-41,61.5
19182813,MX-03,75.2
32782010,HS-16,68.6
36627180,MV-30,86.0
43466971,DA-43,76.6
39797504,AT-47,61.4
45368816,MT-20,57.3
42020788,HS-20,73.2
17702283,EE-87,76.4
38502971,AT-51,69.0
17014175,EE-04,99.0
14968820,HS-07,80.5
42289509,AS-23,75.8
45033953,AT-45,78.8
21357512,AS-12,64.7
41558779,AS-15,78.2
10502522,CE-18,82.6
45896487,FL-10,80.3
19987521,LF-29,74.1
31387964,ME-43,55.7
43238492,CS-30,78.6
11368804,AT-10,82.2
39401498,PH-03,81.3
40908242,ME-58,80.2
30664199,EM-43,87.7
47795841,AS-11,78.6
35831124,DA-07,88.6
37713601,CE-26,74.8
42765230,FL-11,73.9
49916165,FL-53,89.2
33701103,LW-26,76.2
32847510,EE-88,83.4
34698169,ME-56,80.7
13887091,ME-13,81.1
42747341,HS-18,55.9
21022892,CE-11,95.1
18297527,EE-37,76.1
32342245,EE-28,64.6
21961381,EE-72,80.9
14566915,OE-26,74.3
26404075,LW-08,90.5
34572500,FL-86,62.2
30931112,AT-14,70.7
48343429,EE-42,71.4
27727210,MV-05,83.7
36812927,ME-19,84.4
35501248,MV-85,74.5
35866496,OE-07,87.2
22395987,EE-44,74.6
33359405,AS-20,85.9
42378766,OE-14,86.6
41974414,HS-29,84.0
10614160,EM-52,85.9
47453306,LF-18,94.8
42203994,EE-41,94.4
38165376,OE-30,63.8
11459851,AS-52,80.7
49219809,PH-13,68.6
28962406,HS-30,95.8
23885542,EE-05,85.3
30093714,OE-06,72.2
39701513,CE-42,74.2
34412981,EM-20,82.8
39873735,EE-78,66.2
44164230,HS-22,77.4
33507218,EE-69,85.7
30136423,MV-27,75.9
45119199,EE-16,68.6
23679035,LF-29,75.9
16207405,DA-26,82.8
32847510,EM-05,81.6
32996992,HS-08,67.2
30218212,OE-01,78.6
17031523,MV-54,66.1
17536598,DA-35,70.5
47519751,HS-17,76.7
46419647,EE-63,90.7
28045503,MX-03,64.5
34950689,MT-33,64.2
25782982,AS-09,74.4
39014206,DA-35,75.6
14173263,LW-16,84.2
42469253,CS-32,84.1
29079688,MV-17,51.1
39165588,AT-14,76.1
37195212,MV-13,85.7
35197363,FL-25,95.4
37733129,AS-16,77.7
23016021,CE-33,79.1
15039394,EM-07,77.9
37915274,CE-23,85.8
39960775,FL-79,70.2
14509108,AS-27,78.3
11239710,CE-42,89.0
13203166,LF-18,92.5
38868276,DA-58,94.1
47524052,CE-48,78.7
32723818,EE-79,97.6
25013501,FL-42,69.5
40595717,HS-08,74.0
41327958,EE-07,82.0
34327584,AT-21,93.9
17469737,MA-01,82.9
37103809,CS-23,76.3
30265966,AS-06,78.9
29079688,CS-33,80.6
37063895,LF-28,74.9
33995981,AS-47,94.1
27822064,CE-02,82.2
30487217,HS-27,77.2
33064306,AS-56,85.1
18633897,FL-76,76.3
13972018,MV-31,69.4
19030015,OE-08,71.9
38685575,EM-35,60.0
34215137,MT-11,70.8
30148051,AS-02,76.0
19360033,DA-55,94.5
44518167,LF-04,89.5
33658078,MT-02,77.1
13056289,FL-79,75.3
46638371,AS-10,89.2
36330132,DA-31,95.5
30850562,ME-18,73.0
44184595,PH-11,76.1
15027596,LW-23,75.6
27039771,CS-13,91.4
16763250,OE-16,82.2
45712598,EE-26,78.9
39111057,LW-15,80.1
47718290,CS-60,68.8
27658834,HS-10,97.7
38738587,CS-62,77.0
20308678,ME-42,67.5
18380208,AS-24,66.3
25829626,MA-25,79.7
43155861,EM-57,94.1
19626335,ME-17,71.8
34752785,IE-08,71.9
44617225,MT-43,94.5
45598069,FL-33,79.0
41540024,CE-44,91.2
13514902,MV-25,90.3
28909509,LF-05,53.7
10782610,EE-09,65.6
21004705,FL-06,81.0
18928150,AS-29,68.3
33325659,MT-16,86.4
41930164,MV-13,74.8
47792908,CE-07,79.9
37628108,AS-17
32320576,CS-19,98.9
10596424,MA-22,80.4
48874838,LF-20,84.1
32294907,DA-07,83.8
16048638,AT-47,90.1
43068929,MT-07,89.1
43227753,AS-24,72.2
26853675,MA-22,78.8
22557136,CS-33,69.6
31927605,HS-31,69.5
31657534,CE-25,77.0
19298389,MV-18,86.9
19330675,ME-62,83.3
36143733,ME-39,74.8
14555585,MT-28,82.6
33299574,FL-02,91.0
19000033,LF-28,79.4
26295228,OE-09,69.1
35235382,MV-11,86.6
42486736,LW-21,88.9
36050230,CE-39,84.3
34805451,LF-43,79.0
10688815,MV-74,86.3
16788129,LW-13,77.9
11289881,MV-30,70.1
19847486,PH-14,76.4
31188153,MV-35,50.9
27255985,ME-23,73.4
41642902,CS-64,79.1
35887602,OE-08,88.1
23101713,EE-76,60.1
23116296,MT-22,95.7
25470263,LF-33,78.4
39422240,CE-39,84.0
29338701,ME-14,72.5
42928740,DA-67
21009833,DA-74,84.3
30062167,HS-13,71.9
43601843,CE-06,81.4
34078457,EE-41,77.5
32686334,EE-75,73.6
40492763,MV-74,57.3
28970377,CE-46,93.3
30931112,FL-51,74.5
25948580,CE-10,76.1
10264728,MV-76,91.8
19742723,EE-41,78.0
35859719,AS-50,87.7
44919742,MA-21,78.4
22938878,CS-27,74.9
12414847,FL-91,58.7
13083895,ME-39,88.4
13207317,FL-25,70.5
11494159,AS-54,76.0
11516852,FL-51,80.0
28898232,DA-09,91.3
23185029,OE-07,58.5
49944343,AS-16,93.1
37771563,HS-19,94.9
48732498,CE-47,90.5
31097283,FL-30,78.6
19626335,LF-38,72.5
23558246,HS-20,67.1
49896094,DA-60,71.5
43559747,LF-02,85.2
26930578,EE-11,88.5
31697677,DA-38,63.8
12758078,CS-24,80.9
27298101,OE-17,94.3
29279350,EE-56,82.0
48846638,MA-21,60.8
41590716,ME-55,79.8
36054384,CE-30,87.4
38349588,EE-81,75.9
22411810,EE-88,94.0
24774317,AS-24,58.0
26697646,DA-71,83.2
44184595,EM-12,73.3
34267575,PH-07,81.8
31629020,CS-24,79.5
24160259,EM-43,76.3
31331504,MT-52,65.8
35108666,CE-38,83.5
48537142,OE-16,56.7
34001538,AT-24,83.5
48421358,MT-45,69.6
11010602,EE-57,80.1
46496004,FL-44,75.5
49642197,ME-45,66.7
47973444,FL-05,76.4
30250649,HS-14,96.2
40155624,CS-29,98.3
15046585,LW-26,75.2
48973988,DA-33,97.5
22153596,LF-14,80.7
22224934,LF-25,66.5
23830626,CE-25,71.1
37514666,OE-24,88.6
43188190,DA-59,97.1
39642066,EM-03,83.5
29105568,AT-08,88.5
12231943,CE-36,75.6
27755624,EE-09,85.5
33566009,DA-71,67.3
48625092,FL-12,71.2
19875306,FL-87,70.6
42475956,MV-58,87.9
15642131,AT-25,64.2
44638514,OE-21,64.8
19386795,ME-53,68.3
10817943,MV-68,72.9
13292756,LF-12,88.7
14855082,CS-18,79.5
26081593,CE-45,77.7
21838729,LF-30,82.1
38524084,EE-04,75.6
31369390,LF-40,70.1
29014821,FL-43,61.8
25243403,MV-01,80.1
21469216,PH-03,84.1
15292002,AT-15,84.5
34678049,MV-48,89.5
41430803,MT-27,65.3
13188014,MT-04,85.9
22329135,AS-10,92.4
12758078,OE-27,77.2
17715420,EM-51,93.4
47680038,EM-22,77.0
43784270,EM-02,68.5
49939080,MV-01,76.5
18773176,FL-38,77.8
13789235,TL-01,77.5
46144975,MV-83,76.7
16569525,ME-52,96.4
27196615,ME-32,90.8
46333445,MV-57,84.7
17919480,FL-02,93.3
48594869,CS-35,64.8
38482736,EM-08,75.5
39128961,MV-53,78.3
42289509,EM-44,64.6
38238371,LF-01,59.6
38792112,CS-44,68.8
13705275,FL-04,81.2
20645352,CE-31,98.1
40798939,MV-50,58.2
12416256,MA-03,89.6
14396162,AT-51,72.6
34193319,ME-40,64.2
40731377,CE-09,89.9
48833374,ME-18,68.6
20005878,FL-47,66.3
21155437,AT-09,76.0
16026050,EM-12,77.4
13035584,TL-01,98.4
42010188,OE-20,80.8
43852163,EM-24,92.3
46859861,CE-38,91.5
42198137,AS-13,74.2
31601069,EE-87,77.5
25921048,CS-32,80.5
49049898,FL-54,70.3
39021936,ME-63,95.7
42377599,EE-66,65.9
16458517,CS-48,72.0
34184100,ME-04,66.5
26460991,MA-07,73.7
29025704,MV-37,88.1
22952628,FL-47,77.1
32291899,DA-59,70.5
39721405,ME-54,70.4
18980850,FL-44,83.2
17042689,ME-55,60.8
20126677,DA-30,87.7
11058734,AS-26,68.8
36403506,ME-02,77.0
37855346,PH-13,97.5
27332081,EE-74,73.4
47720097,MV-62,80.6
22644300,EM-48,83.0
10045831,EM-38,57.8
33165258,CS-59,76.8
43566064,MA-04,71.3
31398918,OE-03,53.2
41147112,CS-26,83.2
30447040,AT-16,65.8
44722896,MV-60,78.7
45159631,MT-40,92.6
28850362,MT-53,82.6
34902897,DA-41,83.6
20371108,EE-10,79.8
42223424,MA-15,75.7
42746736,DA-33,88.0
14570278,MV-78,94.0
24382562,EE-17,65.2
25836355,EE-92,83.1
19273529,ME-06,94.1
21326232,CS-16,60.1
14049101,HS-10,75.9
21148303,CS-22,94.0
49150290,MA-26,68.6
30189648,FL-19,83.0
19651053,CE-27,78.6
16669841,CE-42,77.4
12439249,LF-04,80.1
19651053,CE-08,72.9
21236215,EE-71,76.4
33552216,CE-01,77.5
45307550,EE-29,87.4
30550908,FL-19,83.6
19873221,ME-48,88.1
10030591,MV-27,83.2
10384979,OE-18,90.0
44701601,DA-18,81.9
29700738,EE-34,87.7
23989281,EE-12,66.0
28373067,FL-46,97.8
34412981,EM-04,69.3
19722941,DA-22,80.0
46255302,CE-09,82.6
27508016,LW-23,71.8
10232920,EE-29,74.1
34107002,FL-09,87.0
13207317,MA-18,63.9
18221337,CE-21,90.4
36039698,DA-02,80.8
16999380,CE-50,91.9
33489340,LF-12,79.8
23537875,ME-01,80.3
47059968,LF-44,78.9
37115427,CS-10,84.1
42020788,FL-93,75.2
13779014,EM-27,91.2
46721717,ME-46,82.2
42616485,AT-09,87.0
23885542,AS-05,79.1
22175340,EE-58,73.3
27346564,PH-04,77.4
39335068,MT-05,74.8
15046585,EE-67,94.8
37561556,FL-61,72.1
44758491,MV-10,88.9
28898232,HS-05
16125939,DA-32,91.2
45452764,EE-32,57.5
21604782,AT-03,66.6
43395696,MT-30,70.3
37678144,MT-25,82.8
38841545,FL-28,84.8
49424045,DA-37,72.1
25545296,MX-02,91.1
